Síterep,Link,Régió,Parkoló,Hegytető,Sípályák hossza,Szintkülönbség,Liftek száma,Szezon eleje,Szezon vége,Távolság Budapesttől,Felnőtt napijegy ára,Húzólift,Kombilift,Kék,Piros,Fekete,Ülőlift,Nagykabinos lift,Kiskabinos lift,Vonat
Kaiserau - Admont,https://sielok.hu/siterep/kaiserau/,Stájerország,1130,1370,3.0,240,3,2022.12.24.,2023.03.12.,430.0,32.0,3,0,2.0,1.0,0.0,0,0,0,0
Kappl,https://sielok.hu/siterep/kappl/,Tirol,1180,2690,40.0,1510,10,2022.12.16.,2023.04.16.,818.0,49.5,6,0,10.0,25.0,5.0,3,0,1,0
Kaprun - Kitzsteinhorn / Maiskogel,https://sielok.hu/siterep/kaprun/,Salzburg,768,3029,61.0,2261,21,2022.10.07.,2023.05.29.,647.0,66.0,6,1,29.0,23.0,9.0,6,1,6,1
Karlstift - Aichelberglifte,https://sielok.hu/siterep/karlstift-aichelberglifte/,Alsó-Ausztria,900,1050,6.0,150,2,2022.12.17.,2023.03.12.,406.0,28.6,2,0,2.7,2.3,1.0,0,0,0,0
Kartitsch,https://sielok.hu/siterep/kartitsch/,Tirol,1356,1820,4.0,464,3,,,645.0,,3,0,1.0,3.0,0.0,0,0,0,0
Kasberg - Grünau,https://sielok.hu/siterep/kasberg/,Felső-Ausztria,620,1600,23.0,980,10,2022.12.24.,2023.03.12.,485.0,52.0,7,0,13.0,8.0,2.0,1,0,2,0
Katschberg - Aineck,https://sielok.hu/siterep/katschberg/,Salzburg,1066,2220,70.0,1154,16,2022.12.03.,2023.04.10.,512.0,54.5,8,0,10.0,50.0,10.0,5,0,3,0
Kaunertal gleccser,https://sielok.hu/siterep/kaunertal/,Tirol,2150,3113,55.0,963,7,2022.10.01.,2023.05.29.,846.0,58.0,2,0,22.5,19.0,13.5,2,1,2,0
Kelchsau,https://sielok.hu/siterep/kelchsau/,Tirol,775,1605,10.9,830,4,,,684.0,31.5,3,0,6.8,4.1,0.0,1,0,0,0
Kirchdorf in Tirol,https://sielok.hu/siterep/kirchdorf/,Tirol,650,700,2.0,50,3,2022.12.18.,2023.03.26.,608.0,23.0,3,0,2.0,0.0,0.0,0,0,0,0
