id,num_of_stops,total_distance,shortName,type,From,To
BKK_3420,6.0,3437.0,42,TRAM,"Kispest, Tulipán utca",Határ út M
BKK_0100,10.0,5169.0,10,BUS,Örs vezér tere M+H,Expó tér
BKK_1290,12.0,5225.0,129,BUS,Szent Ferenc Kórház,Széll Kálmán tér M
BKK_2910,21.0,8270.0,291,BUS,"Zugliget, Libegő",Nyugati pályaudvar M
BKK_2380,26.0,16021.0,238,BUS,Szigetszentmiklós,"Csepel, Szent Imre tér"
BKK_2600,16.0,6263.0,260,BUS,Harsánylejtő,Óbudai rendelőintézet
BKK_0651,7.0,3074.0,65A,BUS,Fenyőgyöngye,Kolosy tér
BKK_3621,22.0,9066.0,62A,TRAM,"Rákospalota, MÁV-telep",Kőbánya alsó vasútáll.
BKK_0220,23.0,11563.0,22,BUS,"Budakeszi, Tesco áruház",Széll Kálmán tér M
BKK_0630,16.0,8934.0,63,BUS,"Nagykovácsi, Tisza I. tér",Hűvösvölgy
BKK_0641,17.0,7947.0,64A,BUS,"Solymár, Templom tér",Hűvösvölgy
BKK_1640,25.0,12025.0,164,BUS,"Solymár, PEMÜ",Hűvösvölgy
BKK_0570,17.0,7242.0,57,BUS,Hűvösvölgy,Remetekertváros
BKK_0640,22.0,11895.0,64,BUS,"Solymár, Auchan áruház",Hűvösvölgy
BKK_1571,14.0,5345.0,157A,BUS,"Budaliget, Géza f. útja",Hűvösvölgy
BKK_2640,18.0,8480.0,264,BUS,"Solymár, PEMÜ",Hűvösvölgy
BKK_2570,17.0,7184.0,257,BUS,Hűvösvölgy,Pesthidegkút
BKK_1570,15.0,7295.0,157,BUS,"Solymár, Kerekhegy",Hűvösvölgy
BKK_0235,6.0,6258.0,23E,BUS,Boráros tér H,Pesterzsébeti lakótelep
BKK_3470,20.0,8893.0,47,TRAM,Városház tér,Deák Ferenc tér M
BKK_H5,17.0,20829.0,H5,SUBURBAN_RAILWAY,Szentendre,Batthyány tér
BKK_3410,39.0,18510.0,41,TRAM,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
BKK_1970,11.0,5130.0,197,BUS,Rákoskert vasútállomás,Sáránd utca
BKK_1210,10.0,4014.0,121,BUS,Újpest-városkapu M,R.palota-Újpest vasútáll.
BKK_2190,10.0,3387.0,219,BUS,Aranyhegy,Csillaghegy H
BKK_1131,14.0,6007.0,113A,BUS,Angeli u. / Nagytétényi út,Budatétény vá. (Campona)
BKK_2780,16.0,12036.0,278,BUS,Szigetszentmiklós,"Csepel, Szent Imre tér"
BKK_0340,27.0,13312.0,34,BUS,"B.megyer, Újmegyeri tér",Göncz Árpád városkp. M
BKK_VP601,4.0,4674.0,60A,BUS,Szent János Kórház,Pethényi út
BKK_3281,24.0,10157.0,28A,TRAM,Új köztemető (Kozma u.),Blaha Lujza tér M
BKK_0380,35.0,20842.0,38,BUS,Szigetszentmiklós,"Csepel, Szent Imre tér"
