licensePlate,model,vehicleRouteType,lat,lon,shortName,From,To
MUU904,VanHool  NewAG300 csuklós autóbusz,BUS,47.46318,19.147448,136E,Havanna utcai lakótelep,Kőbánya-Kispest M
V4208,Tátra T5C5K,TRAM,47.546207,19.089071,14,"Káp.megyer, Megyeri út",Lehel tér M
V4207,Tátra T5C5K,TRAM,47.438137,19.036785,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
MOS256,"Volvo 7900 csuklós (Volán, helyi, 4 ajt)",BUS,47.423485,19.160435,294E,"Gyál, Vecsési út",Határ út M
V4147,Tátra T5C5K,TRAM,47.445347,18.994717,41,Kamaraerdei Ifj. Park,Bécsi út / Vörösvári út
915,MXA,SUBURBAN_RAILWAY,47.509495,19.181776,H8,Gödöllő,Örs vezér tere
V1548,TW 6000,TRAM,47.45999,19.132437,42,"Kispest, Tulipán utca",Határ út M
V1553,TW 6000,TRAM,47.429337,19.217836,50,"Pestszentlőrinc, Béke tér",Villanytelep
MUT886,VanHool  NewAG300 csuklós autóbusz,BUS,47.452686,19.156292,50,Lajosmizsei sorompó,Határ út M
V1550,TW 6000,TRAM,47.491253,19.122223,37A,Sörgyár,Blaha Lujza tér M
V4156,Tátra T5C5K,TRAM,47.498272,19.024347,61,Móricz Zs. körtér M,Hűvösvölgy
PDN608,MAN Lions City A21 (ArrivaBus),BUS,47.422234,19.037615,141,Savoya Park,Kelenföld vasútállomás M
PDN610,MAN Lions City A21 (ArrivaBus),BUS,47.408176,19.015991,114,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
LYH129,MERCEDES Citaro O 530 (BKV spec.),BUS,47.510902,19.0566,91,Széll Kálmán tér M,Nyugati pályaudvar M
V4119,Tátra T5C5K,TRAM,47.480476,19.052124,56A,Móricz Zs. körtér M,Hűvösvölgy
LYH130,MERCEDES Citaro O 530 (BKV spec.),BUS,47.522392,19.018497,11,Nagybányai út,Batthyány tér M H
PDN617,MAN Lions City A21 (ArrivaBus),BUS,47.468197,19.033875,213,Donát-hegy,Móricz Zs. körtér M
PDN615,MAN Lions City A21 (ArrivaBus),BUS,47.407013,19.01488,114,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
PDN614,MAN Lions City A21 (ArrivaBus),BUS,47.457813,19.029078,,,
BPI188,Ikarus 280-as típusú autóbusz,BUS,47.56748,19.09052,30,Keleti pályaudvar M,"Káp.megyer, Mogyoródi-p."
V4137,Tátra T5C5K,TRAM,47.48081,19.102652,1,Kelenföld vasútállomás M,Bécsi út / Vörösvári út
PDN626,MAN Lions City A21 (ArrivaBus),BUS,47.48732,18.989788,53,Mindszenty J. bíboros tér,Móricz Zs. körtér M
PDN624,MAN Lions City A21 (ArrivaBus),BUS,47.46168,19.018871,150,Budatétény vá. (Campona),Móricz Zs. körtér M
PDN625,MAN Lions City A21 (ArrivaBus),BUS,47.464417,19.018274,250,Savoya Park,Kelenföld vasútállomás M
PDN622,MAN Lions City A21 (ArrivaBus),BUS,47.462654,19.005552,154,Infopark - BudaPart,Gazdagréti tér
PDN623,MAN Lions City A21 (ArrivaBus),BUS,47.43657,19.039753,141,Savoya Park,Kelenföld vasútállomás M
LYH115,MERCEDES Citaro O 530 (BKV spec.),BUS,47.56841,19.028051,,,
LYH111,MERCEDES Citaro O 530 (BKV spec.),BUS,47.568153,19.030926,,,
PDB380,MERCEDES Conecto szóló (BKV),BUS,47.50088,19.236187,,,
PDB379,MERCEDES Conecto szóló (BKV),BUS,47.46276,19.149729,98,Rákoscsaba vasútállomás,Kőbánya-Kispest M
PDN607,MAN Lions City A21 (ArrivaBus),BUS,47.43528,19.036526,114,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
LYH125,MERCEDES Citaro O 530 (BKV spec.),BUS,47.567642,19.032583,,,
LYH126,MERCEDES Citaro O 530 (BKV spec.),BUS,47.567688,19.032679,,,
LYH127,MERCEDES Citaro O 530 (BKV spec.),BUS,47.60343,19.048409,243,Békásmegyer H,Pince köz
LYH128,MERCEDES Citaro O 530 (BKV spec.),BUS,47.521946,19.038065,109,Batthyány tér M H,"Óbuda, Bogdáni út"
LYH123,MERCEDES Citaro O 530 (BKV spec.),BUS,47.568027,19.02895,,,
LYH118,MERCEDES Citaro O 530 (BKV spec.),BUS,47.568005,19.031477,,,
PDN604,MAN Lions City A21 (ArrivaBus),BUS,47.412945,18.991444,213,Donát-hegy,Móricz Zs. körtér M
PDN601,MAN Lions City A21 (ArrivaBus),BUS,47.457996,19.028423,114,"Baross G.-telep, Ispiláng u.",Móricz Zs. körtér M
PDB720,MERCEDES Conecto csuklós,BUS,47.50811,19.05509,M3,Lehel tér M,Nagyvárad tér M
BPO878,Ikarus 280-as típusú autóbusz,BUS,47.42856,19.156881,,,
953,MXA,SUBURBAN_RAILWAY,47.19963,18.944983,H6,Ráckeve,Közvágóhíd
NGC150,MERCEDES Citaro O 530 (BKV spec.),BUS,47.567886,19.032022,,,
PDB718,MERCEDES Conecto csuklós,BUS,47.48541,19.070965,M3,Lehel tér M,Nagyvárad tér M
NGC152,MERCEDES Citaro O 530 (BKV spec.),BUS,47.56785,19.032095,,,
PDB719,MERCEDES Conecto csuklós,BUS,47.479496,19.088387,M3,Lehel tér M,Nagyvárad tér M
PXZ876,MAN Lions City GL NG313 csuklós busz,BUS,47.441727,19.114676,23,Boráros tér H,"P.erzsébet, Ady Endre tér"
PDB716,MERCEDES Conecto csuklós,BUS,47.567608,19.031092,,,
NGC147,MERCEDES Citaro O 530 (BKV spec.),BUS,47.52818,19.033148,65A,Fenyőgyöngye,Kolosy tér
PDB714,MERCEDES Conecto csuklós,BUS,47.546753,19.113834,5,"Rákospalota, Kossuth utca",Pasaréti tér
NGC151,MERCEDES Citaro O 530 (BKV spec.),BUS,47.56791,19.029316,237,Jablonka út,Szentlélek tér H
PDZ836,MERCEDES O530 Citaro G csuklós autóbusz,BUS,47.56851,19.029913,,,
PDZ834,MERCEDES O530 Citaro G csuklós autóbusz,BUS,47.5679,19.030926,,,
PDZ832,MERCEDES O530 Citaro G csuklós autóbusz,BUS,47.56851,19.02995,,,
PDB725,MERCEDES Conecto csuklós,BUS,47.567654,19.028866,,,
PDZ831,MERCEDES O530 Citaro G csuklós autóbusz,BUS,47.53633,19.088766,30,Keleti pályaudvar M,"Káp.megyer, Mogyoródi-p."
V1622,TW 6000,TRAM,47.465008,19.122726,,,
PDB724,MERCEDES Conecto csuklós,BUS,47.518322,19.060587,M3,Lehel tér M,Nagyvárad tér M
PDB702,MERCEDES Conecto csuklós,BUS,47.567207,19.030773,,,
PDB703,MERCEDES Conecto csuklós,BUS,47.492573,19.060995,M3,Lehel tér M,Nagyvárad tér M
MFW505,Volvo szóló autóbusz,BUS,47.473892,19.026447,,,
PDB701,MERCEDES Conecto csuklós,BUS,47.5671,19.03122,,,
PCC930,MERCEDES Citaro O 530 (BKV spec.),BUS,47.568275,19.029137,,,
PCC923,MERCEDES O530 Citaro G csuklós autóbusz,BUS,47.512707,19.04933,9,Kőbánya alsó vasútáll.,"Óbuda, Bogdáni út"
